Name	Set	ImageFile	Type	Rarity	Number	Monster	Health	VP	Weak	Strong	Card_Text1	Card_Text2	Card_Text3	Card_Text4
Catzi	Premiere	142	Villain	Rare	142	Dark Moon	100	3			{D} Mind Control - Search deck for 2 Persons and bring them into play immediately. Shuffle deck.	{A} Dark Whip: 40		
Bertie	Premiere	143	Villain	Rare	143	Dark Moon	120	3			{M}{M} {D} Teleportation - Discard {M}{M}. Bertie avoids attack.	{A} Dark Water: 40		
Avery	Premiere	144	Villain	Rare	144	Dark Moon	110	3			{X}{X} {D} Teleportation - Discard {X}{X}. Catzi avoids attack.	{A} Dark Fire: 40		
Prizma	Premiere	145	Villain	Rare	145	Dark Moon	190	4			{X}{X}{X}{X}{X} {D} Mind Control - Discard {X}{X}{X}{X}{X}. Search your deck and discard pile for all Persons and bring them into play immediately.	{A} Dark Lightning: 40		
Rubeus	Premiere	146	Villain	Rare	146	Dark Moon	140	4			{B}+ {D} Black Crystal Power - For each {B} you discard, you can remove up to 20 damage from Rubeus.	{A} Dark Energy Blast: 60		
Emerald	Premiere	147	Villain	Rare	147	Dark Moon	100	3			{M} {D} Summon Droid - Discard {M}. Search your deck for 1 Droid and bring it into play immediately. The Droid is now the target of the Scout/Knight attack, not Emerald.	{A} Dark Energy Bolts: 40		
Sapphire	Premiere	148	Villain	Rare	148	Dark Moon	250	4			{M}+ {D} Rejuvenation - For every {M} you discard, you can remove up to 30 damage from Sapphire.			
Prince Diamond	Premiere	149	Villain	Rare	149	Dark Moon	150	4			{M}{M}{JKP} {D} Force of Will - Discard {M}{M}. Win causes the attacking opponent to miss his or her next turn.	{A} Third Eye Energy Blast: 60		
Wicked Lady	Premiere	150	Villain	Rare	150	Dark Moon	100	3			{D} Safe - No combined attacks against Wicked Lady.	{D} Dark Luna Ball - This Item can imitate any other Item in play. Follow instructions on the other Item's card. Item remains in play for 1 turn.	{A} Dark Crystal Energy Blast: 40	
Sailor Pluto	Premiere	151	Event	Ultra-Rare	151						Time Freeze - All of your opponents are frozen in time. Take an extra turn. Discard after use.			
Sailor Moon, Level 4	Premiere	152	Scout/Knight	Ultra-Rare	152		120				{S} {A} Moon Tiara Magic: 30	{S}{X} {A} Moon Healing Activation: 40	{S}{S} {A} Cosmic Moon Power: 50	{S}{X}{X} {A} Moon Scepter Elimation: 90
Sailor Mercury, Level 4	Premiere	153	Scout/Knight	Ultra-Rare	153		110				{M}{JKP} {A} Mercury Bubble Blast: 30 - Win prevents target from attacking.	{M}{M}{JKP} {A} Mercury Ice Bubbles Freeze: 50 - Win prevents target from attacking.	{X}{X}{M}{JKP} {A} Shine Aqua Illusion: 90 - Win prevents target from attacking.	
Sailor Mars, Level 4	Premiere	154	Scout/Knight	Ultra-Rare	154		140				{S} {A} Mars Fire Ignite: 30	{S}{S} {A} Mars Firebird Strike: 50	{S}{X}{X} {A} Mars Celestial Fire Surround: 90	
Sailor Jupiter, Level 4	Premiere	155	Scout/Knight	Ultra-Rare	155		150				{B} {A} Jupiter Thunder Crash: 30	{B}{B} {A} Jupiter Thunder Dragon: 50	{B}{X}{X} {A} Jupiter Thundercrash Zap: 90	
Sailor Venus, Level 4	Premiere	156	Scout/Knight	Ultra-Rare	156		130				{M} {A} Venus Crescent Beam Smash: 30	{M}{M} {A} Venus Meteor Shower: 50	{M}{X}{X} {A} Venus Love Chain Encircle: 90	
Tuxedo Mask, Level 2	Premiere	157	Scout/Knight	Ultra-Rare	157		120				{A} Cane Attack: 20	{B}{B}{JKP} {A} Rose Throw: 60 - Wins interrupt target, and prevents it from attacking.		
Queen Beryl	Premiere	158	Villain	Ultra-Rare	158	Negaverse	140	5			{JKP} {D} Command the Yoma - Win allows all of your Yoma in play to attack the attacking Scout/Knight. The Scout/Knight cannot attack the Yoma.	{A} Magical Powerstaff Blast: 40		
Wiseman	Premiere	159	Villain	Ultra-Rare	159	Dark Moon	170	5			{D} Awesome Power - Opponent discards his or her entire hand.	{D} Prophetic - Search your deck for 20 seconds. Do not reshuffle.	{A} Pure Dark Energy: 60	
The Negaforce	Premiere	160	Villain	Ultra-Rare	160	Negaverse	200	6			[A} Negaforce Blast: 150			
Beryl's Servants	Past_and_Future	001	Monster	Common	1	Negaverse	30	1	Mind	Soul	{JKP} {D} Negaverse Sanctuary - Win prevents attack.	{A} Wild Assault: 30 - For every Person you discard from your PIE Zone, increase damage by 30.		
Mind-Controlled Humans	Past_and_Future	002	Monster	Common	2	Negaverse	50	1	None	All	{D} Control Another Human - Search deck for a Person and place the card in your PIE Zone. Shuffle deck.	{A} Grab Attack: 10		
Evil Melvin Horde	Past_and_Future	003	Monster	Common	3	Negaverse	40	1	Body	Mind	{JKP} {D} Growing the Horde - Win allows the Horde to force any Person in play to the discard pile (your choice).	{A} Overwhelming Assault: 30		
Dark Moon Minions	Past_and_Future	004	Monster	Common	4	Dark Moon	50	1	Soul	Body	{D} Call for Backup - Discard the top 5 cards from your deck. If you reveal one or more Dark Moon Villains, you must replace Dark Moon Minions with one of the Villain cards (your choice).	{A} Mass Assault: 30		
Schoolmates	Past_and_Future	005	Person	Common	5						{JKP} Human Energy - Use Schoolmates when one of your Monsters/Villains is attacked. Win indicates that Monster/Villain gains {X}{X}, which can only be used to power Attack Abilities. Each Monster/Villain can benefit from Schoolmates once a Turn.			
Maxfield Stanton	Past_and_Future	006	Person	Common	6						Handsome Stranger - Maxfield infects an Item. Discard any Item in your PIE Zone to draw 2 extra cards immediately. Maxfield can only be used once each turn.			
Lizzy Furuhata	Past_and_Future	007	Person	Common	7						{JKP} Stop by for Ice Cream - Use when one of your Persons (other than Lizzy) is forced to the discard pile. Win prevents that Person from being discarded. Loss means you discard Lizzy as well. No limit to number of uses.			
Hercules the Cat	Past_and_Future	008	Person	Common	8						{JKP} Fish Throw - Use Hercules immediately after any Event or Defense Event is played (before Event challenges). Discard {X} attached to Hercules. Win negates the effect of that Event. Loss means you discard Hercules and Event proceeds as normal. No limit to the number of uses.			
Transformation Pens	Past_and_Future	009	Item	Common	9						Transform Again! - Select 1 Scout/Knight. Search your deck for another Scout/Knight card that is the same Level as the one you selected. Replace the selected card with the new Scout/Knight. Shuffle deck. Discard Transformation Pens after use.			
Mind Control Pod	Past_and_Future	010	Item	Common	10						Use Opponent's Resources! - This Item can imitate the abilities of any Person in play until the end of this Turn. Follow intructions on the Person's card. Discard Mind Control Pod after use.			
Hot Soup	Past_and_Future	011	Item	Common	11						{JKP}+ It Burns! - Select any oppponent Scout/Knight. Discard {X}. If you win or lose challenge, discard Hot Soup. If you tie, deliver 10 damage to the Scout/Knight and play another challenge. Repeat until you win or lose. Discard Hot Soup after use.			
Rainbow Crystal	Past_and_Future	012	Item	Common	12						Collect the Crystals! - Discard 1 or more Crystals at the same time to remove damage ffrom any of your cards in play: Discard 1: Remove 10, Discard 2: Remove 30, Discard 3: Remove 60, Discard 4: Remove 100.			
Visit From the Past	Past_and_Future	013	Event	Common	13						Change your Actions - Discard {X}{X}{X} from your hand. Pick up any card in your play area and place it back into your hand.			
Reborn in the Future	Past_and_Future	014	Event	Common	14						{JKP} Two Timelines, Two People - Select one of your Level 2 or higher Scouts/Knights. Remove the top Level card and place it in your Ally Zone to make a new Scout pile. You now have another copy of that Scout/Knight in play.			
Learn Beryl's Secrets	Past_and_Future	015	Event	Common	15						{JKP} Pick any Target - Win indicates that your Scouts/Knights may use their attacks to target the same Monster or Villain on this Turn. They do not need to do a combined attack to target a single Monster or Villain.			
Fond Memories	Past_and_Future	016	Event	Common	16						Warm Feelings - Until the end of your Turn, you win all of your challenges that result in a tie.			
Free Power	Past_and_Future	017	Event	Common	17						Defense Event - The defending Monster or Villain gains the use of up to {X}{X}{X}, which can only be used to power Defense Abilities.			
Unexpected Attack	Past_and_Future	018	Event	Common	18						{JKP} Defense Event - Win reduces the attacking Scout/Knight to 20 remaining Health and prevents the Scout/Knight attack.			
Distracted By a Kiss	Past_and_Future	019	Event	Common	19						{JKP} Defense Event - Play before Location takes effect. Win creates an illusion that cinfuses the Scout/Knight. You can now change the position of any number of Locations you have in play.			
Vicious Queen	Past_and_Future	020	Event	Common	20						Defense Event - You can transfer some or all of the damage delivered to the target Monster or Villain to your Scouts/Knights. You cannot reduce any Scout/Knight to 0 Health.			
Fooled By the Enemy	Past_and_Future	021	Event	Common	21						{JKP} Defense Event - Win prevents attack. Attacking opponent must select one of his or her own Monsters or Villains. That target receives 40 damage. If the target us defeated, the Victory Points are awarded to you.			
Serena's House	Past_and_Future	022	Location	Common	22						Attacking Scout/Knight cannot attack or rejuvenate on the attacking opponent's next Turn..			
Crown Game Arcade	Past_and_Future	023	Location	Common	23						Discard 1 Power card from yyour hand to draw 2 cards from the top of your deck.			
Hall of Clocks	Past_and_Future	024	Location	Common	24						Monster or Villain ignores 10 damage from each attack. Monster or Villain attack damage is also increased by 10 damage.			
Fire-Reading Room	Past_and_Future	025	Location	Common	25						Attacking Scout/Knight must discard 2 attached Power cards immediately (attacking opponent's choice).			
Airport	Past_and_Future	026	Location	Common	26						{JKP} Win allows you to discard any 2 Items in play (your choice).			
Dream Realm	Past_and_Future	027	Location	Common	27						{JKP} Win allows you ti discard any Person in play (your choice).			
Ski Resort	Past_and_Future	028	Location	Common	28						{JKP} Win prevents attack.			
Beach	Past_and_Future	029	Location	Common	29						{JKP} Win indicates that Monster does not discard attached Power cards after the cards are used to power attack or defense abilities.			
Tokyo Tower	Past_and_Future	030	Location	Common	30						The Monster or Villain in Tokyo Tower cannot be selected as the target of any Person's ability.			
Shaneera	Past_and_Future	031	Monster	Uncommon	31	Negaverse	20	2	Mind	Soul	{D} Hypnotize - The top 3 cards of the attacking opponent's deck are removed from the game. Anyone may look at these cards.	{A} Nibble: 20		
Dark Moon Soldiers	Past_and_Future	032	Monster	Uncommon	32	Dark Moon	70	2	Mind	Body	{JKP} {D} Duck and Cover - Win avoids attack.	{A} Powered Assault: ? - Discard the top 5 cards from your deck. Deliver 30 damage for each Power card discarded.		
Princess Diamond	Past_and_Future	033	Item	Uncommon	33						{JKP} Money is Power - Select 1 Monster or Villain. Win forces that target's Location, or up to 3 Power cards attached to that target, to the discard pile. Princess Diamond can only be used once each Turn.			
Crystal and Wand	Past_and_Future	034	Event	Uncommon	34						{JKP} Absorbs all Power! - All Power cards in play are discarded (including yours). Discard Crystal and Wand after use.			
While the Cat's Away...	Past_and_Future	035	Location	Uncommon	35						Defense Event - Discard target Monster or Villain immediately upon attack. Select a Monster from your discard pile and play it into your Enemy Zone now. The new Monster is now the target of the attack.			
Things Fall Apart	Past_and_Future	036	Location	Uncommon	36						Defense Event - The attacking opponent must discard his or her hand. For every 2 cards discarded, you may draw 1 card from your deck (round down) and place it into your hand.			
Alone	Past_and_Future	037	Location	Uncommon	37						Defense Event - Use against a combined attack. Only 1 Scout/Knight (your choice) will deliver the damage of the combined attack. That Scout/Knight is now the sole target for the Monster/Villain attack.			
Crossroads Jr. High	Past_and_Future	038	Location	Uncommon	38						Draw a number of cards equal to the number of Persons you have in your PIE Zone (up to a maximum of 5 cards).			
Hot Springs	Past_and_Future	039	Location	Uncommon	39						Select any Monster or Villain in play (other than the target). The selected Monster or Villain removes 50 damage now.			
Moon Princess, Level 2	Past_and_Future	040	Scout/Knight	Uncommon	40		90				{D} Target Monster does not gain a Strong Against Soul benefit for the remainder of your Turn.	{S}{S} {A} Moon Energy Attack: 30	{S}{S}{S} {A} Enhanced Moon Attack: 40	
Mercury Princess, Level 2	Past_and_Future	041	Scout/Knight	Uncommon	41		80				{D} Target Monster does not gain a Strong Against Mind benefit for the remainder of your Turn.	{JKP} {D} Confusion - Win prevents Monster or Villain from attacking Mercury Princess.	{M}{M} {A} Mercury Energy Attack: 30	
Mars Princess, Level 2	Past_and_Future	042	Scout/Knight	Uncommon	42		110				{D} Target Monster does not gain a Strong Against Soul benefit for the remainder of your Turn.	{S}{S} {A} Mars Energy Attack: 30		
Jupiter Princess, Level 2	Past_and_Future	043	Scout/Knight	Uncommon	43		120				{D} Target Monster does not gain a Strong Against Body benefit for the remainder of your Turn.	{B}{B} {A} Jupiter Energy Attack: 30		
Venus Princess, Level 2	Past_and_Future	044	Scout/Knight	Uncommon	44		100				{D} Target Monster does not gain a Strong Against Mind benefit for the remainder of your Turn.	{M}{M} {A} Venus Energy Attack: 30		
Young Rini, Level 1	Past_and_Future	045	Scout/Knight	Uncommon	45		20				{JKP}{JKP} {D} One win means Young Rini avoids the attack. Two wins means she also removes 10 damage.	{S}{S}{S} {A} Crystal Defense Blast: 40		
Body/Mind	Past_and_Future	046	Power	Rare	46						Body Power/Mind Power - Declare this card as a Body Power or a Mind Power immediately. You may change your decision at the beginning of each of your Turns.			
Body/Soul	Past_and_Future	047	Power	Rare	47						Body Power/Soul Power - Declare this card as a Body Power or a Soul Power immediately. You may change your decision at the beginning of each of your Turns.			
Soul/Mind	Past_and_Future	048	Power	Rare	48						Soul Power/Mind Power - Declare this card as a Mind Power or a Soul Power immediately. You may change your decision at the beginning of each of your Turns.			
Mind/Body/Soul	Past_and_Future	049	Power	Rare	49						Body Power/Mind Power/Soul Power - Declare this card as a Body Power, Mind Power, or Soul Power immediately. You may change your decision at the beginning of each of your Turns.			
Greg Urawa	Past_and_Future	050	Person	Rare	50						See the Future - Select 1 Monster. Discard {X}{X}{X} attached to Greg. One Scout/Knight can ignore that Monster's Attack Abilities during an attack or combined attack this Turn. Greg can only be used once each Turn.			
Four Sisters	Past_and_Future	051	Person	Rare	51						Former Enemies, Now Friends - Select 1 Monster or Villain. Discard {X}{X}{X} attached to Four Sisters. One Scout/Knight can ignore that Monster's or Villain's Defense Abilities during an attack (not combined attack) this Turn. Can only be used once each Turn.			
Dark Crystal	Past_and_Future	052	Item	Rare	52						Pure Evil Energy! - Once the Dark Crystal is used, and until your next Turn, add 30 to your Monsters' attack damages and add 60 to your Villains' attack damages. Discard Dark Crystal after use.			
Human Shield	Past_and_Future	053	Event	Rare	53						{JKP}{JKP} Defense Event - Two wins prevent attack, and 1 of the attacking opponent's Scouts/Knights must be discarded (opponent's choice, the attacking Scout/Knight card cannot be discarded).			
Princess Rini, Level 2	Past_and_Future	054	Scout/Knight	Rare	54		40				{JKP}{JKP} {D} One win means Princess Rini avoids the attack. Two wins means she also removes 20 damage.	{S}{S} {A} Hidden Crystal Blast: 50		
Queen Serenity, Level 1	Past_and_Future	055	Scout/Knight	Rare	55		60				{S}{S} {A} Crystal Blast: 50			
Earth Prince, Level 2	Past_and_Future	056	Scout/Knight	Rare	56		80				{D} Knight Armor - Earth Prince ignores 20 damage from each attack.	{B}{B} {A} Sword Attack: 60		
Young Alan & Ann	Past_and_Future	057	Villain	Rare	57	Doom Tree	150	3			{X} {D} Spread Hatred - Discard {X}. Remove any Person in play from the game (your choice).	{A} Bite and Kick: 30		
Doom Tree	Past_and_Future	058	Villain	Rare	58	Doom Tree	180	4			{X}+ {D} Massive Energy Drain - For every {X} discarded, all of the attacking opponent's Scouts/Knights must discard 1 Power card (opponent's choice).	{A} Branch Attack: 60		
Young Princes	Past_and_Future	059	Villain	Rare	59	Dark Moon	120	3			{JKP} {D} Too Innocent to Harm - Win prevents attack.	{A} Riteous Anger: 40 - For every Droid you discard from your Enemy Zone, increase damage by 20.		
Doom Phantom	Past_and_Future	060	Villain	Rare	60	Dark Moon	170	4			{JKP}{JKP}{JKP} {D} Evil Absorption Shield - Each win forces 1 Person or Item in play to the discard pile (your choice).	{X}+ {A} Black Void Energy: 20 - For every Power card you discard from anywhere in your Enemy Zone, increase damage by 20.		
Nurse Rini	Past_and_Future	061	Person	Ultra-Rare	61						Heal or Hurt? - Choose a Scout/Knight in your Ally Zone. Discard the top card from your deck. If it is a Power card, remove 40 damage. Otherwise, add 20 damage. Each Scout/Knight can be chosen once a Turn.			
Crystal Time Key	Past_and_Future	062	Item	Ultra-Rare	62						{JKP} Travel Back in Time! - Discard {X}{X}{X} from hand. Win allows you to place any one of your defeated 1 Victory Point Monsters into your hand. The opponent loses the associated Victory Points. Remove Crystal Time Key from game after use.			
Birthday Party	Past_and_Future	063	Event	Ultra-Rare	63						I Want Presents - Search your deck for Item cards until you have an equal amount of cards to the opponent with the greatest number of Item cards displayed in their PIE Zone. Place the Item cards in your PIE Zone. Shuffle deck.			
Angry Luna	Past_and_Future	064	Location	Ultra-Rare	64						Defense Event - All of the opponent's Scouts/Knights, excluding the attacker, receives 20 damage immediately.			
Moon Kingdom	Past_and_Future	065	Location	Ultra-Rare	65						Monster in Moon Kingdom can only be attacked with combined attacks.			
Negaverse	Past_and_Future	066	Location	Ultra-Rare	66						When Monster in the Negaverse is attacked, you can replace the Monster with any Villain you have in your hand that is worth 3 or 4 Victory Points.			
Portal of Time	Past_and_Future	067	Location	Ultra-Rare	67						If you discard 2 Power cards from your hand, you do not need to discard any Defense Events you play during the remainder of this Turn. Return Defense Events to your hand at the end of the attacking opponent's Turn.			
Crystal Tokyo	Past_and_Future	068	Location	Ultra-Rare	68						Monster in Crystal Tokyo cannot be attacked with combined attacks.			
Neo Queen Serenity, Level 3	Past_and_Future	069	Scout/Knight	Ultra-Rare	69		120				{D} Target Monster or Villain does not gain Location Bonus, nor Strong Against Soul benefit for remainder of your Turn.	{X} {A} Force of Goodness: 30	{X}{X}{X} {A} Imperium Crystal Blast: 70	
King Endymion, Level 3	Past_and_Future	070	Scout/Knight	Ultra-Rare	70		120				{D} Knight Armor - King Endymion ignores 30 damage from each attack.	{B} {A} Sword Attack: 60		
Jan	JKP	000_jan	Token	Fixed							JAN			
Ken	JKP	000_ken	Token	Fixed							KEN			
Pon	JKP	000_pon	Token	Fixed							PON			
